Debden,51.645492,0.083801475,Central
Denmark Hill,51.46820064,-0.09098787,Overground
Deptford,51.47889008,-0.02619632,Southeastern
Deptford Bridge,51.47447677,-0.022052429,DLR
Devons Road,51.52225847,-0.018007754,DLR
Dollis Hill,51.55185059,-0.238797762,Jubilee
Drayton Green,51.51600468,-0.32961126,Great Western
Drayton Park,51.55307831,-0.1057702,Great Northern
Dundonald Road,51.41739815,-0.207527113,Tramlink
Ealing Broadway,51.51486197,-0.302010381,Central
Ealing Common,51.51024866,-0.287151418,District
Earls Court,51.49135667,-0.194313809,District
Earlsfield,51.44223881,-0.187272689,South Western
East Acton,51.51626341,-0.248112225,Central
East Croydon,51.3757161,-0.091863496,Southern
East Dulwich,51.46162558,-0.080436572,Southern
East Finchley,51.58733254,-0.164743886,Northern
East Ham,51.53924616,0.051516293,District
East India,51.50868401,-0.002370332,DLR
East Putney,51.45887978,-0.210998234,District
Eastcote,51.57655182,-0.396823299,Metropolitan
Eden Park,51.3907961,-0.026669716,Southeastern
Edgware,51.61422962,-0.275093666,Northern
Edgware Road (Bakerloo),51.52064536,-0.170539552,Bakerloo
Edgware Road (Circle/District/Hammersmith and City),51.51999804,-0.167668254,Circle
Edmonton Green,51.6251157,-0.061639019,Greater Anglia
Elephant and Castle,51.49584938,-0.100738715,Bakerloo
Elm Park,51.54912458,0.197252682,District
Elmers End,51.39829111,-0.049463832,Southeastern
Elmstead Woods,51.41708063,0.044229343,Southeastern
Elstree and Borehamwood,51.65287558,-0.279828619,Thameslink
Eltham,51.45566222,0.052329308,Southeastern
Elverson Road,51.46837219,-0.016816376,DLR
Embankment,51.50731249,-0.122367337,Bakerloo
Emerson Park,51.56911491,0.220222934,Overground
Enfield Chase,51.65272211,-0.090704205,Great Northern
Enfield Lock,51.67084612,-0.02839107,Greater Anglia
Enfield Town,51.65197007,-0.079329922,Overground
Epping,51.69368617,0.113825553,Central
Epsom Downs,51.32365944,-0.238970227,Southern
Erith,51.48164768,0.174261289,Southeastern
Essex Road,51.54063331,-0.096365526,Great Northern
Euston,51.52866433,-0.133296472,London Midland
Euston Square,51.52866433,-0.133296472,Circle
Ewell East,51.34524388,-0.241503001,Southern
Ewell West,51.34999114,-0.257089133,South Western
Fairlop,51.59610954,0.090593279,Central
Falconwood,51.4590858,0.078509693,Southeastern
Farringdon,51.52019569,-0.104843062,Circle
Feltham,51.44787917,-0.409824481,South Western
Fenchurch Street,51.51156671,-0.078554153,C2C
Fieldway,51.35131701,-0.024503265,Tramlink
Finchley Central,51.60090325,-0.193220637,Northern
Finchley Road,51.5470962,-0.180050561,Jubilee
Finchley Road and Frognal,51.5501195,-0.183651203,Overground
Finsbury Park,51.56463545,-0.105881486,Great Northern
Forest Gate,51.54931612,0.024189092,Elizabeth
Forest Hill,51.43930831,-0.053328504,Overground
Fulham Broadway,51.4802609,-0.195544164,District
Fulwell,51.43394257,-0.349438525,South Western
Gallions Reach,51.50903414,0.071775394,DLR
Gants Hill,51.57655295,0.066084098,Central
George Street,51.37396606,-0.098718105,Tramlink
Gidea Park,51.58186575,0.205976981,Elizabeth
Gipsy Hill,51.42446952,-0.083835168,Southern
Gloucester Road,51.49449956,-0.18354356,Circle
Golders Green,51.57221553,-0.194834559,Northern
Goldhawk Road,51.50207697,-0.227404006,Circle
Goodge Street,51.52061311,-0.13480769,Northern
Goodmayes,51.56618098,0.111729654,Elizabeth
Gordon Hill,51.66350224,-0.0944733,Great Northern
Gospel Oak,51.55540529,-0.151301033,Overground
Grange Hill,51.61348043,0.09227253,Central
Grange Park,51.64262308,-0.097314424,Great Northern
Gravel Hill,51.35454326,-0.043121699,Tramlink
Great Portland Street,51.5237888,-0.143961425,Circle
Green Park,51.50676048,-0.142477576,Jubilee
Greenford,51.54198007,-0.34587874,Central
Greenwich,51.47754766,-0.014863084,DLR
Grove Park,51.43043264,0.022598502,Southeastern
Gunnersbury,51.49186341,-0.275164136,District
Hackbridge,51.3778609,-0.153879198,Southern
Hackney Central,51.54725744,-0.055589512,Overground
Hackney Downs,51.54907809,-0.060185105,Greater Anglia
Hackney Wick,51.54355841,-0.025259503,Overground
Hadley Wood,51.66840287,-0.17658119,Great Northern
Haggerston,51.53868473,-0.075595258,Overground
Hainault,51.60284533,0.09410855,Central
Hammersmith (District),51.49181978,-0.222860929,District
Hammersmith (Met.),51.49348335,-0.224640157,Circle
Hampstead,51.5565426,-0.17801456,Northern
Hampstead Heath,51.55519992,-0.164566183,Overground
Hampton,51.41587955,-0.372135254,South Western
Hampton Court,51.40229388,-0.342757152,South Western
Hampton Wick,51.41464004,-0.31310361,South Western
Hanger Lane,51.53007203,-0.292996146,Central
Hanwell,51.51218596,-0.338051884,Elizabeth
Harlesden,51.53625833,-0.257495674,Bakerloo
Harold Wood,51.59320222,0.234204073,Elizabeth
Harringay,51.57735791,-0.105208253,Great Northern
Harringay Green Lanes,51.57714589,-0.098217392,Overground
Harrington Road,51.39979057,-0.060699955,Tramlink
Harrow and Wealdstone,51.59259463,-0.334252685,Bakerloo
Harrow-on-the-Hill,51.57938812,-0.337001517,Chiltern Railways
Hatch End,51.6098285,-0.369178781,Overground
Hatton Cross,51.4666853,-0.423380563,Piccadilly
Haydons Road,51.42545732,-0.188929359,Southern
Hayes,51.37573671,0.010142652,Southeastern
Hayes and Harlington,51.50304907,-0.420641904,Elizabeth
Headstone Lane,51.60249963,-0.356907514,Overground
Heathrow Terminal 4,51.45978043,-0.44772959,Elizabeth
Heathrow Terminal 5,51.47002543,-0.490647503,Elizabeth
Heathrow Terminals 1 2 3,51.4712894,-0.452407226,Elizabeth
Hendon,51.58007498,-0.238630521,Thameslink
Hendon Central,51.58313305,-0.22673414,Northern
Herne Hill,51.45399137,-0.102562908,Southeastern
Heron Quays,51.50338657,-0.021953532,DLR
High Barnet,51.65168825,-0.19416538,Northern
High Street Kensington,51.50072945,-0.191566058,Circle
Highams Park,51.60835599,-0.000135286,Overground
Highbury and Islington,51.54649551,-0.10408214,Great Northern
Highgate,51.57764662,-0.146934862,Northern
Hillingdon,51.55377752,-0.449897993,Metropolitan
Hither Green,51.45240172,-0.000970912,Southeastern
Holborn,51.51723574,-0.119840507,Central
Holland Park,51.50714648,-0.206557778,Central
Holloway Road,51.5528161,-0.112935697,Piccadilly
Homerton,51.54659545,-0.038512347,Overground
Honor Oak Park,51.45064824,-0.044153121,Overground
Hornchurch,51.55435511,0.218926997,District
Hornsey,51.58647485,-0.111815638,Great Northern
Hounslow,51.46250482,-0.361796256,South Western
Hounslow Central,51.47092577,-0.365958129,Piccadilly
Hounslow East,51.47370789,-0.355275322,Piccadilly
Hounslow West,51.47310572,-0.385707629,Piccadilly
Hoxton,51.53139161,-0.075585647,Overground
Hyde Park Corner,51.50258401,-0.152474114,Piccadilly
Ickenham,51.56082505,-0.441579513,Metropolitan
Ilford,51.55914224,0.068685191,Elizabeth
Imperial Wharf,51.47493893,-0.182837505,Overground
Island Gardens,51.48795009,-0.010493303,DLR
Isleworth,51.47503742,-0.337328765,South Western
Iver,51.50850213,-0.506740434,Elizabeth
Kenley,51.32460031,-0.101219713,Southern
Kennington,51.48866246,-0.105070613,Northern
Kensal Green,51.53052421,-0.224713384,Bakerloo
Kensal Rise,51.53421506,-0.220820979,Overground
Kensington (Olympia),51.4978797,-0.210379242,District
Kent House,51.41271766,-0.045815553,Southeastern
Kentish Town,51.55000952,-0.140471264,Northern
Kentish Town West,51.54654797,-0.14675641,Overground
Kenton,51.58149628,-0.315216867,Bakerloo
Kew Bridge,51.49000462,-0.288846495,South Western
Kew Gardens,51.47678914,-0.285381011,District
Kidbrooke,51.46269019,0.028300239,Southeastern
Kilburn,51.54694444,-0.204632719,Jubilee
Kilburn High Road,51.53726774,-0.191113106,Overground
Kilburn Park,51.53513554,-0.193966057,Bakerloo
King George V,51.50200861,0.062206214,DLR
King Henry's Drive,51.3453641,-0.020264757,Tramlink
King's Cross,51.53079819,-0.122756421,Great Northern
Kings Cross St. Pancras,51.53031246,-0.12387213,Circle
Kingsbury,51.58487652,-0.278601608,Jubilee
Kingston,51.41264176,-0.30114104,South Western
Kingswood,51.29472314,-0.211233226,Southern
Knightsbridge,51.5013549,-0.160664486,Piccadilly
Knockholt,51.34575194,0.130831039,Southeastern
Ladbroke Grove,51.51721067,-0.210198172,Circle
Ladywell,51.45619214,-0.019244401,Southeastern
Lambeth North,51.49912995,-0.111768261,Bakerloo
Lancaster Gate,51.51189094,-0.175429929,Central
Langdon Park,51.51888394,-0.015213799,DLR
Langley,51.50806166,-0.541770573,Elizabeth
Latimer Road,51.5139581,-0.217459666,Circle
Lea Bridge,51.56663626,-0.036683158,Greater Anglia
Lebanon Road,51.375199,-0.084973649,Tramlink
Lee,51.44945852,0.013364692,Southeastern
Leicester Square,51.51129118,-0.128242148,Northern
Lewisham,51.46488071,-0.012432701,DLR
Leyton,51.55813227,-0.006465332,Central
Leyton Midland Road,51.56936424,-0.008066347,Overground
Leytonstone,51.56852229,0.009140452,Central
Leytonstone High Road,51.56380734,0.008254469,Overground
Limehouse,51.51231216,-0.039380078,C2C
Liverpool Street,51.51759826,-0.082249622,C2C
Lloyd Park,51.36427554,-0.080746273,Tramlink
London Bridge,51.50467435,-0.086005598,Jubilee
London City Airport,51.50368966,0.047872715,DLR
London Fields,51.54071884,-0.057699686,Overground
Loughborough Junction,51.4666789,-0.102497342,Thameslink
Loughton,51.64157048,0.055279079,Central
Lower Sydenham,51.42484684,-0.033330342,Southeastern
Maida Vale,51.52999506,-0.185432647,Bakerloo
Maidenhead,51.51866861,-0.722674941,Elizabeth
Malden Manor,51.38460954,-0.261120416,South Western
Manor House,51.57074714,-0.095684976,Piccadilly
